,file_name,car,quantity_car,average_speed_car,van,quantity_van,average_speed_van,bus,quantity_bus,average_speed_bus,mean_values,total_quantity_car,total_quantity_van,total_quantity_bus
0,KRA-2-7-2023-08-22-evening,car,430,32.64,van,15,25.3,bus,22,26.75,91.94833333333334,89795,4822,1998
1,KRA-2-7-2023-08-22-morning,car,400,39.15,van,30,33.28,bus,29,27.17,93.09999999999998,89795,4822,1998
2,KRA-2-7-2023-08-23-evening,car,517,32.07,van,30,34.57,bus,20,28.13,110.29500000000002,89795,4822,1998
3,KRA-2-9-2023-08-22-evening,car,521,22.41,van,16,19.34,bus,16,17.84,102.09833333333334,89795,4822,1998
4,KRA-2-9-2023-08-24-morning,car,735,24.53,van,25,20.57,bus,13,23.49,140.26500000000001,89795,4822,1998
5,KRA-2-10-2023-08-18-evening,car,541,15.07,van,11,15.57,bus,17,12.21,101.97500000000002,89795,4822,1998
6,KRA-2-10-2023-08-21-morning,car,605,18.48,van,16,15.05,bus,23,14.36,115.315,89795,4822,1998
7,KRA-2-10-2023-09-11-morning,car,261,28.67,van,5,26.06,bus,9,17.13,57.81,89795,4822,1998
8,KRA-3-12-2023-08-21-evening,car,425,41.66,van,34,37.91,bus,12,32.82,97.23166666666667,89795,4822,1998
9,KRA-3-12-2023-08-21-morning,car,467,40.04,van,26,34.69,bus,18,32.69,103.07000000000001,89795,4822,1998
10,KRA-3-12-2023-08-22-evening,car,429,37.18,van,44,31.55,bus,14,30.63,97.72666666666667,89795,4822,1998
11,KRA-3-12-2023-08-22-morning,car,425,39.1,van,37,34.45,bus,12,35.42,97.16166666666668,89795,4822,1998
12,KRA-3-13-2023-08-07-evening,car,689,35.21,van,39,36.91,bus,16,24.61,140.12166666666667,89795,4822,1998
13,KRA-3-13-2023-08-07-morning,car,210,35.6,van,10,28.92,bus,12,20.96,52.91333333333333,89795,4822,1998
14,KRA-3-13-2023-08-08-evening,car,629,37.04,van,49,34.65,bus,18,23.05,131.79,89795,4822,1998
15,KRA-3-14-2023-08-11-morning,car,433,19.36,van,32,23.57,bus,9,13.69,88.43666666666668,89795,4822,1998
16,KRA-3-14-2023-08-17-evening,car,301,25.78,van,19,21.81,bus,6,6.16,63.291666666666664,89795,4822,1998
17,KRA-3-14-2023-08-18-evening,car,333,23.88,van,8,27.96,bus,8,6.99,67.97166666666666,89795,4822,1998
18,KRA-4-18-2023-08-25-morning,car,238,44.75,van,22,40.06,bus,10,43.18,66.33166666666666,89795,4822,1998
19,KRA-4-19-2023-08-28-evening,car,306,34.99,van,21,30.09,bus,8,25.16,70.87333333333333,89795,4822,1998
20,KRA-4-21-2023-08-23-evening,car,294,54.35,van,35,49.99,bus,9,30.5,78.80666666666667,89795,4822,1998
21,KRA-7-26-2023-08-10-evening,car,555,46.42,van,26,42.99,bus,6,45.13,120.25666666666666,89795,4822,1998
22,KRA-8-28-2023-08-18-morning,car,540,56.95,van,113,49.99,bus,10,54.91,137.475,89795,4822,1998
23,KRA-8-31-2023-08-22-morning,car,312,32.61,van,93,30.58,bus,8,24.66,83.47500000000001,89795,4822,1998
24,KRA-8-32-2023-08-18-evening,car,328,42.43,van,23,41.48,bus,2,43.61,80.08666666666667,89795,4822,1998
25,KRA-9-34-2023-08-21-morning,car,845,31.3,van,112,27.74,bus,14,24.89,175.8216666666667,89795,4822,1998
26,KRA-9-35-2023-08-23-evening,car,522,40.65,van,64,37.78,bus,11,34.23,118.27666666666666,89795,4822,1998
27,KRA-14-45-2023-08-31-morning,car,806,33.61,van,77,33.13,bus,41,29.87,170.10166666666666,89795,4822,1998
28,KRA-19-54-2023-08-18-morning,car,414,29.76,van,51,25.66,bus,7,19.48,91.14999999999999,89795,4822,1998
29,KRA-20-58-2023-08-08-morning,car,572,36.99,van,8,33.58,bus,12,29.71,115.38000000000001,89795,4822,1998
30,KRA-20-59-2023-08-07-morning,car,685,33.9,van,15,33.43,bus,9,30.53,134.47666666666666,89795,4822,1998
31,KRA-21-62-2023-08-07-morning,car,215,26.11,van,7,20.21,bus,0,0.0,44.72,89795,4822,1998
32,KRA-25-73-2023-08-24-morning,car,778,25.38,van,46,28.29,bus,39,19.69,156.06,89795,4822,1998
33,KRA-25-74-2023-08-23-morning,car,699,31.08,van,29,28.09,bus,38,16.03,140.20000000000002,89795,4822,1998
34,KRA-43-161-2023-08-07-evening,car,35,32.16,van,1,29.0,bus,0,0.0,16.19333333333333,89795,4822,1998
35,KRA-43-162-2023-09-07-morning,car,41,42.68,van,0,0.0,bus,0,0.0,13.946666666666667,89795,4822,1998
36,KRA-43-164-2023-08-08-evening,car,1178,28.48,van,42,26.67,bus,48,21.16,224.0516666666667,89795,4822,1998
37,KRA-44-168-2023-08-29-evening,car,466,15.95,van,13,15.45,bus,21,14.68,91.01333333333332,89795,4822,1998
38,KRA-44-168-2023-08-29-morning,car,500,23.73,van,10,17.88,bus,24,19.11,99.12,89795,4822,1998
39,KRA-44-168-2023-08-30-evening,car,309,24.23,van,5,15.94,bus,24,23.94,67.01833333333333,89795,4822,1998
40,KRA-44-168-2023-08-30-morning,car,492,19.76,van,17,17.07,bus,22,14.75,97.09666666666668,89795,4822,1998
41,KRA-44-168-2023-08-31-evening,car,412,25.26,van,23,23.31,bus,21,23.29,87.97666666666667,89795,4822,1998
42,KRA-44-168-2023-08-31-morning,car,513,20.43,van,8,18.92,bus,22,21.98,100.72166666666665,89795,4822,1998
43,KRA-44-169-2023-08-16-evening,car,223,24.68,van,3,20.11,bus,0,0.0,45.13166666666667,89795,4822,1998
44,KRA-44-169-2023-08-17-evening,car,140,25.93,van,0,0.0,bus,0,0.0,27.655,89795,4822,1998
45,KRA-44-169-2023-08-17-morning,car,128,26.72,van,6,26.53,bus,0,0.0,31.208333333333332,89795,4822,1998
46,KRA-44-169-2023-08-18-evening,car,203,20.07,van,3,18.63,bus,0,0.0,40.78333333333333,89795,4822,1998
47,KRA-44-169-2023-08-18-morning,car,124,20.56,van,18,20.59,bus,0,0.0,30.525000000000002,89795,4822,1998
48,KRA-44-169-2023-08-21-morning,car,150,21.37,van,7,18.14,bus,0,0.0,32.751666666666665,89795,4822,1998
49,KRA-45-170-2023-08-17-evening,car,143,25.76,van,10,25.7,bus,0,0.0,34.07666666666666,89795,4822,1998
50,KRA-45-170-2023-08-17-morning,car,162,19.96,van,7,8.07,bus,0,0.0,32.83833333333333,89795,4822,1998
51,KRA-45-170-2023-08-18-evening,car,132,19.41,van,6,16.55,bus,0,0.0,28.993333333333336,89795,4822,1998
52,KRA-45-170-2023-08-18-morning,car,150,20.74,van,8,13.19,bus,0,0.0,31.988333333333333,89795,4822,1998
53,KRA-45-170-2023-08-21-evening,car,161,21.98,van,10,24.53,bus,0,0.0,36.251666666666665,89795,4822,1998
54,KRA-45-170-2023-08-21-morning,car,177,24.15,van,6,27.79,bus,0,0.0,39.156666666666666,89795,4822,1998
55,KRA-45-171-2023-08-15-evening,car,125,20.39,van,4,7.88,bus,0,0.0,26.211666666666662,89795,4822,1998
56,KRA-45-171-2023-08-15-morning,car,175,19.53,van,5,20.02,bus,0,0.0,36.59166666666667,89795,4822,1998
57,KRA-45-171-2023-08-17-evening,car,239,13.47,van,4,10.97,bus,0,0.0,44.573333333333345,89795,4822,1998
58,KRA-45-171-2023-08-18-evening,car,219,16.23,van,3,5.43,bus,0,0.0,40.61,89795,4822,1998
59,KRA-45-171-2023-08-18-morning,car,258,18.74,van,24,16.95,bus,1,16.62,55.885,89795,4822,1998
60,KRA-45-172-2023-08-14-morning,car,254,27.08,van,10,23.11,bus,2,42.88,59.845,89795,4822,1998
61,KRA-45-172-2023-08-17-evening,car,266,19.08,van,7,16.82,bus,4,19.37,55.37833333333333,89795,4822,1998
62,KRA-45-172-2023-08-18-evening,car,284,20.27,van,2,27.57,bus,3,27.66,60.75,89795,4822,1998
63,KRA-45-172-2023-08-18-morning,car,281,21.84,van,21,20.61,bus,3,35.67,63.85333333333333,89795,4822,1998
64,KRA-47-180-2023-08-22-evening,car,32,15.14,van,8,14.16,bus,0,0.0,11.549999999999999,89795,4822,1998
65,KRA-47-180-2023-08-22-morning,car,40,13.34,van,4,13.55,bus,0,0.0,11.815,89795,4822,1998
66,KRA-47-180-2023-08-24-morning,car,26,15.25,van,13,13.94,bus,0,0.0,11.365,89795,4822,1998
67,KRA-47-181-2023-08-21-evening,car,483,22.99,van,22,24.0,bus,1,22.5,95.915,89795,4822,1998
68,KRA-47-181-2023-08-22-morning,car,437,31.51,van,28,27.37,bus,2,27.02,92.14999999999999,89795,4822,1998
69,KRA-47-181-2023-08-23-morning,car,402,29.98,van,38,28.37,bus,1,22.45,86.96666666666668,89795,4822,1998
70,KRA-47-181-2023-08-24-morning,car,428,31.07,van,40,29.15,bus,1,30.42,93.27333333333333,89795,4822,1998
71,KRA-47-182-2023-08-22-morning,car,302,11.86,van,14,9.18,bus,4,10.18,58.53666666666667,89795,4822,1998
72,KRA-47-182-2023-08-30-morning,car,431,11.91,van,52,11.6,bus,2,16.77,87.54666666666668,89795,4822,1998
73,KRA-48-186-2023-08-28-evening,car,157,25.65,van,6,25.2,bus,5,19.83,39.78,89795,4822,1998
74,KRA-48-186-2023-08-29-evening,car,191,23.29,van,7,20.27,bus,5,18.69,44.208333333333336,89795,4822,1998
75,KRA-48-186-2023-08-29-morning,car,186,30.12,van,16,27.67,bus,3,22.73,47.58666666666667,89795,4822,1998
76,KRA-48-187-2023-08-17-evening,car,143,38.66,van,2,39.34,bus,3,31.87,42.97833333333333,89795,4822,1998
77,KRA-48-187-2023-08-17-morning,car,165,42.7,van,10,38.25,bus,3,41.03,49.99666666666667,89795,4822,1998
78,KRA-51-193-2023-08-22-evening,car,441,19.07,van,20,17.77,bus,3,20.99,86.97166666666665,89795,4822,1998
79,KRA-51-193-2023-08-22-morning,car,437,24.36,van,29,25.82,bus,2,24.28,90.41000000000001,89795,4822,1998
80,KRA-51-193-2023-08-23-morning,car,438,23.81,van,32,21.76,bus,4,29.83,91.56666666666668,89795,4822,1998
81,KRA-51-194-2023-08-21-evening,car,484,26.42,van,18,20.71,bus,5,20.81,95.82333333333334,89795,4822,1998
82,KRA-51-194-2023-08-24-morning,car,542,26.9,van,44,24.75,bus,4,28.97,111.77,89795,4822,1998
83,KRA-51-195-2023-08-25-morning,car,537,40.84,van,29,34.62,bus,4,46.52,115.33,89795,4822,1998
84,KRA-51-195-2023-08-28-morning,car,567,25.75,van,29,19.47,bus,3,26.05,111.71166666666666,89795,4822,1998
85,KRA-51-196-2023-08-28-evening,car,504,33.36,van,14,25.62,bus,6,17.8,100.13,89795,4822,1998
86,KRA-51-196-2023-08-29-morning,car,600,41.5,van,23,41.72,bus,10,31.92,124.69,89795,4822,1998
87,KRA-51-197-2023-08-28-morning,car,704,37.27,van,44,31.99,bus,2,12.23,138.58166666666668,89795,4822,1998
88,KRA-51-197-2023-08-29-evening,car,672,43.29,van,50,40.91,bus,2,22.24,138.40666666666667,89795,4822,1998
89,KRA-51-197-2023-08-29-morning,car,704,30.28,van,29,26.45,bus,3,12.25,134.16333333333333,89795,4822,1998
90,KRA-51-197-2023-08-30-evening,car,712,33.98,van,43,35.43,bus,3,21.92,141.55499999999998,89795,4822,1998
91,KRA-51-197-2023-08-30-morning,car,674,39.13,van,51,37.6,bus,5,24.99,138.62,89795,4822,1998
92,KRA-51-198-2023-08-11-evening,car,724,50.1,van,31,49.62,bus,11,51.83,152.925,89795,4822,1998
93,KRA-54-202-2023-08-10-evening,car,768,39.16,van,20,35.51,bus,18,39.21,153.31333333333333,89795,4822,1998
94,KRA-54-202-2023-08-10-morning,car,855,40.6,van,33,34.14,bus,25,38.36,171.01666666666665,89795,4822,1998
95,KRA-55-203-2023-08-14-evening,car,626,27.53,van,19,25.08,bus,1,39.27,122.98,89795,4822,1998
96,KRA-55-203-2023-08-15-evening,car,615,29.36,van,17,28.38,bus,4,24.65,119.73166666666667,89795,4822,1998
97,KRA-55-203-2023-08-15-morning,car,662,26.54,van,74,25.37,bus,1,36.0,137.48499999999999,89795,4822,1998
98,KRA-55-204-2023-08-14-morning,car,573,32.93,van,71,30.22,bus,2,42.0,125.19166666666666,89795,4822,1998
99,KRA-55-204-2023-08-15-evening,car,627,32.61,van,26,32.59,bus,4,20.51,123.78500000000001,89795,4822,1998
100,KRA-55-204-2023-08-15-morning,car,545,36.49,van,55,33.1,bus,2,21.63,115.53666666666668,89795,4822,1998
101,KRA-55-206-2023-08-21-evening,car,673,19.48,van,29,17.6,bus,22,16.98,129.67666666666668,89795,4822,1998
102,KRA-55-206-2023-08-21-morning,car,624,30.28,van,48,28.47,bus,21,29.56,130.21833333333333,89795,4822,1998
103,KRA-55-206-2023-08-23-morning,car,701,24.79,van,76,22.83,bus,15,17.24,142.81,89795,4822,1998
104,KRA-55-207-2023-08-14-evening,car,514,20.88,van,37,20.57,bus,20,20.86,105.55166666666668,89795,4822,1998
105,KRA-55-207-2023-08-14-morning,car,536,22.41,van,37,19.74,bus,16,19.5,108.44166666666666,89795,4822,1998
106,KRA-55-207-2023-08-15-evening,car,588,18.33,van,31,14.59,bus,18,21.92,115.30666666666667,89795,4822,1998
107,KRA-55-207-2023-08-15-morning,car,593,18.12,van,43,18.84,bus,14,22.54,118.25,89795,4822,1998
108,KRA-55-207-2023-08-16-evening,car,550,12.98,van,20,15.69,bus,18,21.27,106.32333333333334,89795,4822,1998
109,KRA-55-207-2023-08-16-morning,car,610,18.44,van,34,16.11,bus,17,23.46,119.83500000000002,89795,4822,1998
110,KRA-55-208-2023-08-16-evening,car,418,19.64,van,17,19.77,bus,23,16.16,85.59499999999998,89795,4822,1998
111,KRA-55-208-2023-08-16-morning,car,434,20.45,van,51,18.17,bus,16,9.04,91.44333333333333,89795,4822,1998
112,KRA-55-208-2023-08-17-evening,car,426,22.77,van,18,27.23,bus,16,15.31,87.55166666666666,89795,4822,1998
113,KRA-55-208-2023-08-17-morning,car,422,27.09,van,49,24.66,bus,17,17.72,92.91166666666668,89795,4822,1998
114,KRA-55-208-2023-08-23-morning,car,445,18.65,van,55,14.53,bus,20,25.06,96.37333333333332,89795,4822,1998
115,KRA-55-209-2023-08-21-evening,car,360,29.06,van,18,18.34,bus,24,19.1,78.08333333333333,89795,4822,1998
116,KRA-55-209-2023-08-21-morning,car,412,29.34,van,59,26.31,bus,20,17.5,94.02499999999999,89795,4822,1998
117,KRA-55-209-2023-08-23-evening,car,357,28.93,van,14,28.02,bus,17,17.71,77.11,89795,4822,1998
118,KRA-55-209-2023-08-24-evening,car,386,17.7,van,15,15.01,bus,18,10.62,77.05499999999999,89795,4822,1998
119,KRA-55-210-2023-08-29-morning,car,690,31.74,van,44,29.69,bus,16,24.7,139.35500000000002,89795,4822,1998
120,KRA-55-210-2023-08-30-morning,car,652,43.67,van,39,41.33,bus,13,34.41,137.23499999999999,89795,4822,1998
121,KRA-55-210-2023-08-31-morning,car,545,35.42,van,25,31.71,bus,39,32.32,118.075,89795,4822,1998
122,KRA-55-211-2023-08-15-evening,car,772,30.97,van,31,30.71,bus,24,26.14,152.47,89795,4822,1998
123,KRA-55-212-2023-08-15-evening,car,552,21.25,van,37,21.35,bus,12,22.38,110.99666666666667,89795,4822,1998
124,KRA-55-212-2023-08-18-evening,car,389,22.13,van,23,23.68,bus,10,13.78,80.265,89795,4822,1998
125,KRA-56-214-2023-08-14-morning,car,583,20.87,van,55,19.22,bus,6,13.73,116.30333333333334,89795,4822,1998
126,KRA-56-215-2023-08-22-evening,car,400,35.49,van,10,35.73,bus,4,29.17,85.73166666666667,89795,4822,1998
127,KRA-56-215-2023-08-22-morning,car,272,30.7,van,17,29.2,bus,5,27.85,63.625,89795,4822,1998
128,KRA-56-215-2023-08-23-evening,car,332,38.43,van,4,33.86,bus,4,28.49,73.46333333333334,89795,4822,1998
129,KRA-56-215-2023-08-23-morning,car,301,37.67,van,34,35.23,bus,5,24.84,72.95666666666666,89795,4822,1998
130,KRA-56-215-2023-08-24-evening,car,319,33.27,van,8,33.01,bus,4,25.1,70.39666666666666,89795,4822,1998
131,KRA-56-215-2023-08-25-morning,car,299,33.56,van,29,34.05,bus,5,30.89,71.91666666666667,89795,4822,1998
132,KRA-56-217-2023-08-16-evening,car,123,32.24,van,4,25.31,bus,2,23.38,34.98833333333334,89795,4822,1998
133,KRA-56-217-2023-08-16-morning,car,118,36.65,van,5,31.04,bus,3,20.23,35.65333333333333,89795,4822,1998
134,KRA-56-217-2023-08-17-evening,car,102,40.09,van,5,36.74,bus,2,35.28,36.85166666666667,89795,4822,1998
135,KRA-56-217-2023-08-17-morning,car,128,32.58,van,5,28.29,bus,3,30.29,37.85999999999999,89795,4822,1998
136,KRA-56-217-2023-08-18-evening,car,127,35.67,van,7,31.86,bus,3,29.75,39.046666666666674,89795,4822,1998
137,KRA-56-217-2023-08-18-morning,car,131,33.1,van,7,31.6,bus,3,31.52,39.53666666666667,89795,4822,1998
138,KRA-56-218-2023-08-22-evening,car,376,33.72,van,9,28.6,bus,1,2.76,75.18,89795,4822,1998
139,KRA-56-218-2023-08-22-morning,car,416,30.36,van,20,27.23,bus,3,10.05,84.44000000000001,89795,4822,1998
140,KRA-56-218-2023-08-23-evening,car,382,33.76,van,10,32.38,bus,2,5.15,77.54833333333333,89795,4822,1998
141,KRA-56-218-2023-08-23-morning,car,380,31.71,van,16,27.1,bus,4,7.84,77.77499999999999,89795,4822,1998
142,KRA-56-218-2023-08-24-evening,car,383,29.46,van,9,25.45,bus,2,4.17,75.51333333333334,89795,4822,1998
143,KRA-56-218-2023-08-25-morning,car,401,30.42,van,19,29.04,bus,2,3.34,80.8,89795,4822,1998
144,KRA-56-220-2023-08-16-evening,car,320,28.14,van,19,24.77,bus,2,20.73,69.10666666666667,89795,4822,1998
145,KRA-56-220-2023-08-16-morning,car,311,30.85,van,20,25.27,bus,0,0.0,64.52,89795,4822,1998
146,KRA-56-220-2023-08-17-evening,car,372,29.49,van,23,26.58,bus,2,26.11,79.86333333333333,89795,4822,1998
147,KRA-56-220-2023-08-17-morning,car,350,26.58,van,25,25.49,bus,0,0.0,71.17833333333333,89795,4822,1998
148,KRA-56-220-2023-08-18-evening,car,369,27.87,van,25,25.27,bus,2,28.55,79.615,89795,4822,1998
149,KRA-56-220-2023-08-18-morning,car,309,29.22,van,21,26.17,bus,1,34.8,70.19833333333334,89795,4822,1998
150,KRA-56-220-2023-08-29-evening,car,233,15.99,van,1,1.0,bus,0,0.0,41.83166666666667,89795,4822,1998
151,KRA-57-222-2023-08-25-evening,car,156,45.94,van,4,47.51,bus,5,42.63,50.18,89795,4822,1998
152,KRA-57-222-2023-08-25-morning,car,167,51.49,van,6,45.65,bus,3,43.07,52.70166666666666,89795,4822,1998
153,KRA-57-222-2023-08-28-evening,car,265,41.65,van,4,41.41,bus,5,28.97,64.33833333333332,89795,4822,1998
154,KRA-57-222-2023-08-28-morning,car,185,48.97,van,7,45.39,bus,3,48.82,56.36333333333334,89795,4822,1998
155,KRA-58-229-2023-08-16-evening,car,516,35.05,van,12,31.94,bus,6,26.98,104.66166666666668,89795,4822,1998
156,KRA-58-229-2023-08-16-morning,car,578,35.96,van,46,33.84,bus,10,38.27,123.67833333333334,89795,4822,1998
157,KRA-58-229-2023-08-17-evening,car,670,24.15,van,18,20.36,bus,6,23.28,126.96499999999999,89795,4822,1998
158,KRA-58-229-2023-08-17-morning,car,611,35.19,van,32,31.18,bus,12,28.49,124.97666666666667,89795,4822,1998
159,KRA-58-229-2023-08-18-evening,car,539,32.24,van,15,28.14,bus,5,24.23,107.26833333333333,89795,4822,1998
160,KRA-58-229-2023-08-18-morning,car,642,35.84,van,20,34.02,bus,9,33.66,129.08666666666667,89795,4822,1998
161,KRA-59-230-2023-09-04-evening,car,231,25.67,van,2,15.94,bus,5,14.46,49.01166666666666,89795,4822,1998
162,KRA-59-230-2023-09-04-morning,car,243,22.43,van,3,21.46,bus,4,7.19,50.18,89795,4822,1998
163,KRA-60-232-2023-08-21-morning,car,391,31.45,van,15,27.76,bus,23,24.11,85.38666666666666,89795,4822,1998
164,KRA-60-232-2023-08-22-evening,car,374,31.0,van,9,31.26,bus,18,23.35,81.10166666666667,89795,4822,1998
165,KRA-60-232-2023-08-23-morning,car,411,28.09,van,13,24.44,bus,22,22.19,86.78666666666668,89795,4822,1998
166,KRA-61-234-2023-08-14-evening,car,525,19.41,van,9,20.32,bus,2,18.46,99.03166666666668,89795,4822,1998
167,KRA-61-234-2023-08-14-morning,car,398,21.59,van,14,18.7,bus,2,21.37,79.27666666666666,89795,4822,1998
168,KRA-61-234-2023-08-15-evening,car,534,15.97,van,15,16.78,bus,3,13.29,99.67333333333333,89795,4822,1998
169,KRA-61-235-2023-08-22-evening,car,326,9.33,van,6,4.65,bus,4,9.04,59.836666666666666,89795,4822,1998
170,KRA-61-235-2023-08-22-morning,car,397,26.87,van,20,25.75,bus,8,22.86,83.41333333333334,89795,4822,1998
171,KRA-61-235-2023-08-23-evening,car,406,14.95,van,8,12.09,bus,10,14.25,77.54833333333333,89795,4822,1998
172,KRA-61-235-2023-08-23-morning,car,413,24.01,van,29,24.38,bus,9,17.87,86.21,89795,4822,1998
173,KRA-61-235-2023-08-24-evening,car,390,19.92,van,6,23.76,bus,9,13.55,77.03833333333334,89795,4822,1998
174,KRA-61-235-2023-08-24-morning,car,429,28.25,van,26,28.03,bus,7,20.92,89.86666666666666,89795,4822,1998
175,KRA-61-236-2023-09-04-evening,car,464,35.35,van,6,32.07,bus,12,23.8,95.53666666666668,89795,4822,1998
176,KRA-61-236-2023-09-04-morning,car,390,39.66,van,5,48.3,bus,10,32.18,87.52333333333333,89795,4822,1998
177,KRA-61-237-2023-08-14-evening,car,228,40.53,van,4,38.23,bus,4,34.89,58.275,89795,4822,1998
178,KRA-61-237-2023-08-15-evening,car,607,31.3,van,19,34.07,bus,9,23.88,120.70833333333333,89795,4822,1998
179,KRA-61-237-2023-08-16-morning,car,467,36.4,van,4,31.34,bus,12,29.46,96.7,89795,4822,1998
180,KRA-61-237-2023-08-17-morning,car,450,29.43,van,27,27.69,bus,10,32.67,96.13166666666666,89795,4822,1998
181,KRA-62-240-2023-08-16-evening,car,1264,40.76,van,32,41.13,bus,34,24.81,239.45000000000002,89795,4822,1998
182,KRA-62-240-2023-08-16-morning,car,768,49.28,van,26,45.36,bus,13,42.47,157.35166666666666,89795,4822,1998
183,KRA-62-240-2023-08-23-morning,car,623,33.04,van,39,30.07,bus,21,22.01,128.02,89795,4822,1998
184,KRA-62-242-2023-08-16-evening,car,855,47.09,van,16,42.63,bus,11,43.12,169.14000000000001,89795,4822,1998
185,KRA-62-242-2023-08-16-morning,car,753,55.63,van,28,50.67,bus,12,43.56,157.14333333333332,89795,4822,1998
186,KRA-62-244-2023-08-14-evening,car,897,34.4,van,33,35.07,bus,16,33.03,174.75,89795,4822,1998
187,KRA-62-244-2023-08-17-morning,car,857,40.24,van,24,39.14,bus,19,32.48,168.64333333333335,89795,4822,1998
188,KRA-62-245-2023-08-16-evening,car,687,36.03,van,14,33.96,bus,17,23.99,135.33,89795,4822,1998
189,KRA-62-246-2023-08-10-morning,car,851,33.21,van,37,33.51,bus,15,29.81,166.58833333333334,89795,4822,1998
190,KRA-62-246-2023-08-16-evening,car,989,24.65,van,39,23.97,bus,15,24.91,186.08833333333337,89795,4822,1998
191,KRA-62-246-2023-08-16-morning,car,856,30.21,van,27,27.16,bus,22,24.75,164.52,89795,4822,1998
192,KRA-63-247-2023-08-10-morning,car,973,24.92,van,49,24.57,bus,35,20.07,187.76,89795,4822,1998
193,KRA-63-247-2023-08-11-evening,car,1048,28.44,van,49,30.56,bus,27,24.06,201.17666666666665,89795,4822,1998
194,KRA-63-247-2023-08-14-morning,car,797,22.04,van,36,18.91,bus,44,16.13,155.67999999999998,89795,4822,1998
195,KRA-63-247-2023-08-16-evening,car,985,25.2,van,53,22.64,bus,29,17.45,188.71500000000003,89795,4822,1998
196,KRA-63-247-2023-08-16-morning,car,1005,19.41,van,52,18.74,bus,38,16.68,191.63833333333335,89795,4822,1998
197,KRA-63-248-2023-08-23-morning,car,300,35.38,van,16,30.76,bus,7,20.93,68.345,89795,4822,1998
198,KRA-63-248-2023-08-24-evening,car,273,38.71,van,30,38.12,bus,7,27.18,69.00166666666667,89795,4822,1998
199,KRA-63-248-2023-08-24-morning,car,291,40.62,van,29,38.99,bus,6,22.9,71.41833333333334,89795,4822,1998
